ROWID,Country,State LGD Code,State,SourceYear,"State wise Macro Nutrient Status for Cycle I, Cycle II ,Cycle III","Fertilizers used in cycle namely Nitrogen, phosphorous, Potassium, organic carbon",Fertilizers level,Count of Nutrient status involved in three cycles,Samples under each cycle,YearCode,Year
1,India,14,MANIPUR,2015-16,Cycle 1,Nitrogen (N),H,0,65,2015,"Financial Year (Apr - Mar), 2015"
2,India,14,MANIPUR,2015-16,Cycle 1,Potassium (K),H,0,65,2015,"Financial Year (Apr - Mar), 2015"
3,India,14,MANIPUR,2015-16,Cycle 1,Nitrogen (N),VH,0,65,2015,"Financial Year (Apr - Mar), 2015"
4,India,14,MANIPUR,2015-16,Cycle 1,Phosphorous (P),VH,0,65,2015,"Financial Year (Apr - Mar), 2015"
5,India,14,MANIPUR,2015-16,Cycle 1,Potassium (K),VH,0,65,2015,"Financial Year (Apr - Mar), 2015"
6,India,14,MANIPUR,2015-16,Cycle 1,Nitrogen (N),M,2,65,2015,"Financial Year (Apr - Mar), 2015"
7,India,14,MANIPUR,2015-16,Cycle 1,Phosphorous (P),H,4,65,2015,"Financial Year (Apr - Mar), 2015"
8,India,14,MANIPUR,2015-16,Cycle 1,Organic Carbon (OC),VL,5,65,2015,"Financial Year (Apr - Mar), 2015"
9,India,14,MANIPUR,2015-16,Cycle 1,Organic Carbon (OC),H,6,65,2015,"Financial Year (Apr - Mar), 2015"
10,India,14,MANIPUR,2015-16,Cycle 1,Nitrogen (N),L,8,65,2015,"Financial Year (Apr - Mar), 2015"
11,India,14,MANIPUR,2015-16,Cycle 1,Potassium (K),M,11,65,2015,"Financial Year (Apr - Mar), 2015"
12,India,14,MANIPUR,2015-16,Cycle 1,Organic Carbon (OC),L,12,65,2015,"Financial Year (Apr - Mar), 2015"
13,India,14,MANIPUR,2015-16,Cycle 1,Organic Carbon (OC),M,12,65,2015,"Financial Year (Apr - Mar), 2015"
14,India,14,MANIPUR,2015-16,Cycle 1,Phosphorous (P),L,18,65,2015,"Financial Year (Apr - Mar), 2015"
15,India,14,MANIPUR,2015-16,Cycle 1,Phosphorous (P),M,21,65,2015,"Financial Year (Apr - Mar), 2015"
16,India,14,MANIPUR,2015-16,Cycle 1,Phosphorous (P),VL,21,65,2015,"Financial Year (Apr - Mar), 2015"
17,India,14,MANIPUR,2015-16,Cycle 1,Potassium (K),VL,23,65,2015,"Financial Year (Apr - Mar), 2015"
18,India,14,MANIPUR,2015-16,Cycle 1,Organic Carbon (OC),VH,29,65,2015,"Financial Year (Apr - Mar), 2015"
19,India,14,MANIPUR,2015-16,Cycle 1,Potassium (K),L,30,65,2015,"Financial Year (Apr - Mar), 2015"
20,India,14,MANIPUR,2015-16,Cycle 1,Nitrogen (N),VL,54,65,2015,"Financial Year (Apr - Mar), 2015"
21,India,7,DELHI,2015-16,Cycle 1,Nitrogen (N),H,0,115,2015,"Financial Year (Apr - Mar), 2015"
22,India,7,DELHI,2015-16,Cycle 1,Nitrogen (N),VH,0,115,2015,"Financial Year (Apr - Mar), 2015"
23,India,7,DELHI,2015-16,Cycle 1,Organic Carbon (OC),VH,0,115,2015,"Financial Year (Apr - Mar), 2015"
24,India,7,DELHI,2015-16,Cycle 1,Phosphorous (P),VH,0,115,2015,"Financial Year (Apr - Mar), 2015"
25,India,7,DELHI,2015-16,Cycle 1,Potassium (K),VH,0,115,2015,"Financial Year (Apr - Mar), 2015"
26,India,7,DELHI,2015-16,Cycle 1,Phosphorous (P),H,1,115,2015,"Financial Year (Apr - Mar), 2015"
27,India,7,DELHI,2015-16,Cycle 1,Potassium (K),VL,1,115,2015,"Financial Year (Apr - Mar), 2015"
28,India,7,DELHI,2015-16,Cycle 1,Organic Carbon (OC),H,10,115,2015,"Financial Year (Apr - Mar), 2015"
29,India,7,DELHI,2015-16,Cycle 1,Phosphorous (P),VL,12,115,2015,"Financial Year (Apr - Mar), 2015"
30,India,7,DELHI,2015-16,Cycle 1,Potassium (K),L,15,115,2015,"Financial Year (Apr - Mar), 2015"
31,India,7,DELHI,2015-16,Cycle 1,Potassium (K),H,24,115,2015,"Financial Year (Apr - Mar), 2015"
32,India,7,DELHI,2015-16,Cycle 1,Nitrogen (N),M,25,115,2015,"Financial Year (Apr - Mar), 2015"
33,India,7,DELHI,2015-16,Cycle 1,Organic Carbon (OC),M,26,115,2015,"Financial Year (Apr - Mar), 2015"
34,India,7,DELHI,2015-16,Cycle 1,Organic Carbon (OC),VL,29,115,2015,"Financial Year (Apr - Mar), 2015"
35,India,7,DELHI,2015-16,Cycle 1,Nitrogen (N),VL,41,115,2015,"Financial Year (Apr - Mar), 2015"
36,India,7,DELHI,2015-16,Cycle 1,Phosphorous (P),L,47,115,2015,"Financial Year (Apr - Mar), 2015"
37,India,7,DELHI,2015-16,Cycle 1,Nitrogen (N),L,49,115,2015,"Financial Year (Apr - Mar), 2015"
38,India,7,DELHI,2015-16,Cycle 1,Organic Carbon (OC),L,50,115,2015,"Financial Year (Apr - Mar), 2015"
39,India,7,DELHI,2015-16,Cycle 1,Phosphorous (P),M,55,115,2015,"Financial Year (Apr - Mar), 2015"
40,India,7,DELHI,2015-16,Cycle 1,Potassium (K),M,75,115,2015,"Financial Year (Apr - Mar), 2015"
41,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015-16,Cycle 1,Nitrogen (N),H,0,2285,2015,"Financial Year (Apr - Mar), 2015"
42,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015-16,Cycle 1,Nitrogen (N),L,0,2285,2015,"Financial Year (Apr - Mar), 2015"
43,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015-16,Cycle 1,Nitrogen (N),M,0,2285,2015,"Financial Year (Apr - Mar), 2015"
44,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015-16,Cycle 1,Nitrogen (N),VH,0,2285,2015,"Financial Year (Apr - Mar), 2015"
45,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015-16,Cycle 1,Nitrogen (N),VL,0,2285,2015,"Financial Year (Apr - Mar), 2015"
46,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015-16,Cycle 1,Phosphorous (P),VL,1,2285,2015,"Financial Year (Apr - Mar), 2015"
47,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015-16,Cycle 1,Potassium (K),VL,2,2285,2015,"Financial Year (Apr - Mar), 2015"
48,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015-16,Cycle 1,Potassium (K),L,14,2285,2015,"Financial Year (Apr - Mar), 2015"
49,India,38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015-16,Cycle 1,Phosphorous (P),VH,30,2285,2015,"Financial Year (Apr - Mar), 2015"
