Country,State,District LGD Code,District,Sub-District LGD Code,Sub-District,SourceYear,Actual Annual Rainfall from 2010 to 2020 (mm) 2010,Actual Annual Rainfall from 2010 to 2020 (mm) 2011,Actual Annual Rainfall from 2010 to 2020 (mm) 2012,Actual Annual Rainfall from 2010 to 2020 (mm) 2013,Actual Annual Rainfall from 2010 to 2020 (mm) 2014,Actual Annual Rainfall from 2010 to 2020 (mm) 2015,Actual Annual Rainfall from 2010 to 2020 (mm) 2016,Actual Annual Rainfall from 2010 to 2020 (mm) 2017,Actual Annual Rainfall from 2010 to 2020 (mm) 2018,Actual Annual Rainfall from 2010 to 2020 (mm) 2019,Actual Annual Rainfall from 2010 to 2020 (mm) 2020,YearCode,Year
India,Karnataka,738,Vijayanagar,7108,Kotturu,2019-20,0,0,0,0,0,0,0,0,0,685,758,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,738,Vijayanagar,5502,Kudligi,2019-20,638,318,378,417,526,431,260,494,467,684,768,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,738,Vijayanagar,5497,Hagaribommanahalli,2019-20,602,460,485,442,538,508,347,605,438,715,853,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,738,Vijayanagar,5496,Hadagalli,2019-20,637,493,461,527,593,365,391,622,376,792,796,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,738,Vijayanagar,5498,Hosapete,2019-20,784,440,490,636,691,415,370,592,420,566,894,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,738,Vijayanagar,5510,Harapanahalli,2019-20,860,497,565,644,915,542,432,704,547,786,833,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,524,Bagalkote,5443,Jamkhandi,2019-20,675,454,347,557,599,335,416,530,429,656,680,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,524,Bagalkote,5444,Bilgi,2019-20,606,449,449,624,864,506,456,658,418,522,644,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,524,Bagalkote,5445,Mudhol,2019-20,679,530,317,425,482,392,524,592,359,665,810,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,524,Bagalkote,5446,Badami,2019-20,580,423,330,465,667,521,381,500,348,660,688,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,524,Bagalkote,5447,Bagalkot,2019-20,598,568,348,440,634,457,307,689,329,557,660,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,524,Bagalkote,5448,Hungund,2019-20,665,607,425,621,603,597,416,598,303,586,848,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,524,Bagalkote,7061,Guledgudda,2019-20,0,0,0,0,0,0,0,0,0,686,801,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,524,Bagalkote,7062,Ilkal,2019-20,0,0,0,0,0,0,0,0,0,528,846,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,524,Bagalkote,7063,Rabakavi Banahatti,2019-20,0,0,0,0,0,0,0,0,0,673,797,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,525,Bengaluru Urban,5542,Bengaluru North,2019-20,925,920,610,957,1019,1057,1165,479,828,874,1146,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,525,Bengaluru Urban,5543,Bengaluru South,2019-20,835,1058,537,862,925,1258,1403,1488,963,902,1169,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,525,Bengaluru Urban,5544,Bengaluru East,2019-20,877,1092,354,620,611,908,1358,1097,1008,711,1019,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,525,Bengaluru Urban,5545,Anekal,2019-20,844,734,437,593,433,839,922,820,665,773,1040,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,525,Bengaluru Urban,7103,Yelahanka,2019-20,899,988,712,892,996,1012,629,489,667,890,1017,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,526,Bengaluru Rural,5601,Nelamangala,2019-20,989,851,546,966,970,1565,711,1164,937,1008.2,999,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,526,Bengaluru Rural,5602,Dodda Ballapur,2019-20,631,595,389,581,763,934,582,914,602,842.7,912,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,526,Bengaluru Rural,5603,Devanahalli,2019-20,868,768,492,812,718,1047,742,965,681,855.5,927,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,526,Bengaluru Rural,5604,Hosakote,2019-20,787,781,611,777,987,1033,899,1141,719,907.8,999,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,527,Belagavi,5433,Chikodi,2019-20,856,517,461,622,693,505,621,717,597,957,815,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,527,Belagavi,5434,Athni,2019-20,538,295,225,385,488,347,400,540,372,655,712,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,527,Belagavi,5435,Raybag,2019-20,650,309,229,306,498,259,347,528,345,689,685,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,527,Belagavi,5436,Gokak,2019-20,635,488,303,313,566,281,239,502,353,738,684,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,527,Belagavi,5437,Hukeri,2019-20,907,735,466,686,776,416,543,678,677,1026,843,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,527,Belagavi,5438,Belagavi,2019-20,1266,1359,732,1147,1338,702,1023,958,1186,1866,1330,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,527,Belagavi,5439,Khanapur,2019-20,3279,3975,2488,2635,2998,1974,2463,2569,3432,3261,2223,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,527,Belagavi,5440,Bailahongala,2019-20,871,774,500,673,941,587,560,619,628,1214,858,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,527,Belagavi,5441,Savadatti,2019-20,576,424,257,382,951,490,420,587,463,751,736,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,527,Belagavi,5442,Ramdurg,2019-20,668,566,387,506,707,450,437,600,349,660,676,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,527,Belagavi,7043,Kittur,2019-20,0,0,0,0,0,0,0,0,0,1452,1107,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,527,Belagavi,7099,Mudalgi,2019-20,0,0,0,0,0,0,0,0,0,765,763,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,527,Belagavi,7100,Kagwad,2019-20,0,0,0,0,0,0,0,0,0,657,663,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,527,Belagavi,7105,Nippani,2019-20,0,0,0,0,0,0,0,0,0,1253,956,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,528,Ballari,5499,Siruguppa,2019-20,644,261,368,454,537,466,455,731,250,565,759,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,528,Ballari,5500,Ballari,2019-20,620,363,348,420,488,587,248,727,237,563,716,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,528,Ballari,5501,Sandur,2019-20,857,537,527,538,675,577,299,458,451,685,1008,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,528,Ballari,7107,Kampli,2019-20,0,0,0,0,0,0,0,0,0,531,746,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,528,Ballari,7109,Kurugodu,2019-20,0,0,0,0,0,0,0,0,0,540,685,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,529,Bidar,5454,Basavakalyan,2019-20,1133,745,589,773,765,521,1155,825,590,703,1134,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,529,Bidar,5455,Bhalki,2019-20,920,698,711,1023,577,565,1240,794,517,645,957,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,529,Bidar,5456,Aurad,2019-20,1000,857,767,1034,546,604,1216,778,602,689,962,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,529,Bidar,5457,Bidar,2019-20,1136,661,817,1088,611,608,1248,951,462,651,1097,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,529,Bidar,5458,Homnabad,2019-20,1050,676,737,914,565,518,989,827,420,672,1135,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,529,Bidar,7084,Chitaguppa,2019-20,0,0,0,0,0,0,0,0,0,685,1112,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,529,Bidar,7085,Kamalnagar,2019-20,0,0,0,0,0,0,0,0,0,666,952,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,529,Bidar,7086,Hulsoor,2019-20,0,0,0,0,0,0,0,0,0,644,1080,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,530,Vijayapura,5449,Vijayapura,2019-20,551,278,425,601,1088,444,369,583,331,705.8,716,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,530,Vijayapura,5450,Indi,2019-20,570,375,446,546,690,354,522,627,323,647.4,682,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,530,Vijayapura,5451,Sindgi,2019-20,583,351,495,511,767,282,485,542,265,682.5,818,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,530,Vijayapura,5452,Basavana Bagevadi,2019-20,648,416,413,612,1150,495,465,661,416,708.1,804,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,530,Vijayapura,5453,Muddebihal,2019-20,622,416,403,544,555,370,418,589,330,685.3,801,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,530,Vijayapura,7069,Babaleshwar,2019-20,0,0,0,0,0,0,0,0,0,578.3,644,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,530,Vijayapura,7070,Chadachan,2019-20,0,0,0,0,0,0,0,0,0,576.8,664,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,530,Vijayapura,7071,Devara Hipparagi,2019-20,0,0,0,0,0,0,0,0,0,661.8,783,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,530,Vijayapura,7072,Kolhar,2019-20,0,0,0,0,0,0,0,0,0,643.1,699,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,530,Vijayapura,7073,Talikoti,2019-20,0,0,0,0,0,0,0,0,0,609.8,800,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,530,Vijayapura,7074,Tikota,2019-20,0,0,0,0,0,0,0,0,0,427.7,661,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,530,Vijayapura,7075,Nidagundi,2019-20,0,0,0,0,0,0,0,0,0,651.6,712,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,531,Chamarajanagara,5576,Gundlupet,2019-20,930,833,565,655,930,892,380,780,958,794,788,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,531,Chamarajanagara,5577,Chamarajanagar,2019-20,807,679,379,494,807,771,229,779,558,727.3,852,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,531,Chamarajanagara,5578,Yelandur,2019-20,830,791,438,503,930,1883,275,1058,661,925.8,1001,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,531,Chamarajanagara,5579,Kollegal,2019-20,853,588,382,482,853,642,112,596,455,482.2,961,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,531,Chamarajanagara,7077,Hanur,2019-20,0,0,0,0,0,0,0,0,0,0,933,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,532,Chikkamagaluru,5525,Sringeri,2019-20,4343,5551,5498,6073,5275,4077,3927,4068,6804,4621.5,4783.4,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,532,Chikkamagaluru,5526,Koppa,2019-20,3081,3151,2776,3914,3701,2566,2427,2416,4315,3384,3089.9,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,532,Chikkamagaluru,5527,Narasimharajapura,2019-20,1983,1878,1510,2153,2054,1585,1406,1355,2645,2081.5,1717.3,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,532,Chikkamagaluru,5528,Tarikere,2019-20,1164,777,597,1164,1180,1110,866,653,1165,1220.2,922,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,532,Chikkamagaluru,5529,Kadur,2019-20,957,482,719,632,843,837,551,514,784,1014.1,739.7,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,532,Chikkamagaluru,5530,Chikkamagaluru,2019-20,1547,1336,976,1591,1275,1201,1129,1090,1673,1733.6,1092.7,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,532,Chikkamagaluru,5531,Mudigere,2019-20,3313,3077,2408,3438,3339,2526,2134,2428,3350,3810.1,3496.5,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,532,Chikkamagaluru,7078,Ajjampura,2019-20,0,0,0,0,0,0,0,0,0,1170.3,902.4,2019,"Financial Year (Apr - Mar), 2019"
India,Karnataka,533,Chitradurga,5503,Molakalmuru,2019-20,807,295,492,321,704,449,226,481,395,580,753,2019,"Financial Year (Apr - Mar), 2019"
